Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2025-04-10_11:04:13,68.0,68.0,48.0,50.0,49.0,50.0,48.0,50.0,48.0,3574.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4900.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,33.3,0,0.6
2025-04-10_11:04:15,49.0,48.0,48.0,47.0,46.0,48.0,47.0,49.0,48.0,3358.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2743.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,8.7,2.7,0,0.6
2025-04-10_11:04:18,49.0,49.0,47.0,47.0,46.0,48.0,47.0,49.0,48.0,3352.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2643.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,2.5,0,0.6
2025-04-10_11:04:20,49.0,49.0,48.0,47.0,46.0,48.0,47.0,49.0,47.0,3389.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3235.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,3.9,0,0.6
2025-04-10_11:04:22,49.0,49.0,47.0,47.0,46.0,48.0,47.0,49.0,47.0,3415.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3644.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,10.1,4.1,0,0.6
2025-04-10_11:04:24,49.0,48.0,47.0,47.0,46.0,48.0,47.0,49.0,47.0,3359.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2743.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,8.4,2.4,0,0.6
2025-04-10_11:04:26,49.0,50.0,48.0,48.0,46.0,48.0,47.0,49.0,48.0,3418.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3697.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,0.3,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,9.9,4.0,0,0.6
2025-04-10_11:04:28,49.0,48.0,48.0,47.0,46.0,48.0,47.0,49.0,48.0,3390.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3247.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,0.8,0.0,0.5,0.5,0.0,3.5,0.0,0.0,0.0,2.9,1.0,0.0,0.5,1.0,3.4,1.0,1.0,12.0,6.0,0,0.7
2025-04-10_11:04:30,49.0,49.0,48.0,48.0,46.0,49.0,47.0,49.0,48.0,3358.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2736.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1.3,0.5,0.0,1.0,0.0,0.0,0.5,4.5,0.0,1.0,1.0,0.0,0.0,8.9,0.0,1.0,1.0,11.6,7.2,0,0.7
2025-04-10_11:04:32,49.0,49.0,47.0,48.0,46.0,48.0,47.0,49.0,48.0,3375.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2999.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,7.2,2.5,0,0.6
