Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2025-04-17_10:48:38,47.0,44.0,43.0,47.0,42.0,42.0,42.0,43.0,43.0,3415.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3645.5,3400.0,3400.0,3400.0,3400.0,3400.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,92.3,0.0,0.0,0.0,7.7,0.0,18.9,12.8,0,0.7
2025-04-17_10:48:38,47.0,44.0,43.0,47.0,42.0,42.0,42.0,43.0,43.0,3425.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3804.5,3400.0,3400.0,3400.0,3400.0,3400.0,4.2,4.3,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,27.3,4.3,0.0,0.0,9.1,4.5,11.5,5.5,0,0.7
2025-04-17_10:48:38,47.0,44.0,43.0,47.0,42.0,42.0,42.0,43.0,43.0,3249.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,994.6,1050.5,3400.0,3400.0,3400.0,997.1,4.3,0.0,0.0,0.0,0.0,0.0,0.0,4.3,4.2,0.0,4.2,37.5,0.0,0.0,4.3,12.5,8.3,9.2,3.1,0,0.8
2025-04-17_10:48:38,47.0,44.0,43.0,47.0,42.0,42.0,42.0,43.0,43.0,3309.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1591.8,1232.3,3400.0,3400.0,1945.5,3400.0,3400.0,1583.2,3400.0,3400.0,6.5,4.5,0.0,4.3,0.0,0.0,0.0,9.1,0.0,4.3,18.2,36.4,0.0,0.0,8.7,9.1,4.8,9.7,3.6,0,0.8
2025-04-17_10:48:38,47.0,44.0,43.0,47.0,42.0,42.0,42.0,43.0,43.0,3312.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2000.3,3400.0,3400.0,3400.0,3400.0,3400.0,5.0,4.3,0.0,0.0,4.5,0.0,0.0,4.5,0.0,0.0,4.5,36.4,0.0,0.0,0.0,9.1,8.3,9.4,3.4,0,0.8
2025-04-17_10:48:39,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,3162.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1000.0,3400.0,3400.0,3400.0,999.0,3400.0,3400.0,3400.0,1000.0,1483.8,4.7,8.0,4.2,4.0,0.0,4.2,0.0,8.0,0.0,0.0,11.5,36.0,0.0,0.0,7.7,8.3,4.3,9.1,3.0,0,0.8
2025-04-17_10:48:39,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,3302.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1840.5,3400.0,3400.0,3400.0,3400.0,3400.0,6.6,0.0,4.3,0.0,4.2,0.0,4.5,9.1,8.7,0.0,0.0,39.1,0.0,0.0,0.0,13.0,4.5,9.4,3.5,0,0.8
2025-04-17_10:48:39,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,3014.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,999.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1455.8,6.4,7.7,8.0,0.0,4.0,3.8,8.0,8.3,15.4,4.0,4.0,20.8,0.0,4.0,7.7,0.0,7.7,6.2,3.1,0,0.8
2025-04-17_10:48:39,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,3308.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1932.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.8,4.5,9.1,0.0,0.0,0.0,8.3,13.0,30.4,4.5,0.0,8.3,0.0,0.0,4.3,0.0,12.5,6.5,3.4,0,0.8
2025-04-17_10:48:40,43.0,42.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,2931.1,1592.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1998.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.0,0.0,8.7,0.0,4.3,0.0,4.5,8.7,34.8,4.2,4.5,4.5,0.0,0.0,0.0,0.0,4.5,6.6,3.4,0,0.8
2025-04-17_10:48:40,43.0,42.0,42.0,42.0,42.0,41.0,43.0,42.0,42.0,3067.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2054.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.3,0.0,13.6,0.0,0.0,0.0,22.7,4.8,36.4,9.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,6.1,2.9,0,0.8
2025-04-17_10:48:40,43.0,42.0,42.0,42.0,42.0,41.0,43.0,42.0,42.0,3099.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1000.0,999.0,1000.0,1000.0,3400.0,3400.0,3400.0,3400.0,1000.0,1000.0,8.0,0.0,4.2,0.0,0.0,0.0,0.0,11.5,25.0,23.1,20.8,0.0,0.0,7.7,0.0,20.8,4.2,8.5,5.4,0,0.8
2025-04-17_10:48:40,43.0,42.0,42.0,42.0,42.0,41.0,43.0,42.0,42.0,3225.2,3400.0,3400.0,3400.0,1497.6,3400.0,3400.0,3400.0,2588.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.8,4.3,4.5,0.0,0.0,0.0,0.0,4.5,36.4,4.5,9.1,4.5,0.0,0.0,0.0,0.0,4.8,7.2,4.1,0,0.8
2025-04-17_10:48:41,43.0,42.0,42.0,42.0,42.0,41.0,43.0,42.0,42.0,3634.9,3635.4,3635.3,3635.2,3635.0,3635.0,3634.8,3634.7,3634.6,3634.5,3634.4,3634.4,3634.7,3634.8,3635.1,3635.1,3635.4,34.1,31.8,34.8,30.4,31.8,30.4,31.8,31.8,54.5,36.4,31.8,34.8,37.5,30.4,31.8,34.8,37.5,18.6,15.5,0,0.9
2025-04-17_10:48:41,43.0,42.0,42.0,42.0,42.0,41.0,43.0,42.0,42.0,4578.6,4577.4,4577.5,4577.7,4577.9,4578.0,4578.3,4578.3,4578.6,4578.6,4578.8,4578.9,4579.1,4579.2,4579.4,4579.5,4579.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,83.8,0,0.7
2025-04-17_10:48:41,60.0,59.0,59.0,60.0,60.0,58.0,60.0,59.0,58.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,84.9,0,0.7
2025-04-17_10:48:41,60.0,59.0,59.0,60.0,60.0,58.0,60.0,59.0,58.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.7,85.9,0,0.7
2025-04-17_10:48:41,60.0,59.0,59.0,60.0,60.0,58.0,60.0,59.0,58.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.3,86.1,0,0.7
2025-04-17_10:48:42,60.0,59.0,59.0,60.0,60.0,58.0,60.0,59.0,58.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.3,86.3,0,0.7
2025-04-17_10:48:42,60.0,59.0,59.0,60.0,60.0,58.0,60.0,59.0,58.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.8,86.7,0,0.7
2025-04-17_10:48:42,63.0,58.0,60.0,59.0,63.0,59.0,62.0,60.0,60.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.5,85.3,0,0.7
2025-04-17_10:48:42,63.0,58.0,60.0,59.0,63.0,59.0,62.0,60.0,60.0,4300.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,3400.0,3400.0,3400.0,3400.0,4600.0,4600.0,4600.0,89.8,95.2,100.0,100.0,100.0,81.8,100.0,100.0,100.0,71.4,80.0,50.0,66.7,95.2,100.0,100.0,100.0,84.7,78.6,0,0.7
2025-04-17_10:48:42,63.0,58.0,60.0,59.0,63.0,59.0,62.0,60.0,60.0,4075.0,4600.0,3400.0,4600.0,4600.0,4600.0,4600.0,3400.0,3400.0,4600.0,4600.0,3400.0,3400.0,3400.0,3400.0,4600.0,4600.0,56.0,100.0,14.3,100.0,100.0,57.1,100.0,59.1,28.6,20.0,90.5,0.0,4.8,4.8,14.3,100.0,100.0,73.4,67.6,0,0.7
