Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2025-04-17_10:31:50,55.0,48.0,48.0,47.0,55.0,47.0,48.0,47.0,48.0,3273.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2977.8,3400.0,3400.0,3400.0,3400.0,7.0,0.0,0.0,5.3,0.0,0.0,0.0,5.6,0.0,0.0,5.6,5.3,83.3,5.6,0.0,0.0,5.6,9.8,3.9,0,0.7
2025-04-17_10:31:50,55.0,48.0,48.0,47.0,55.0,47.0,48.0,47.0,48.0,3351.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1247.8,2623.0,3400.0,3400.0,3400.0,3400.0,5.0,4.3,0.0,0.0,0.0,0.0,0.0,13.0,8.3,0.0,8.7,4.5,22.7,0.0,4.3,4.5,4.5,11.7,5.7,0,0.7
2025-04-17_10:31:50,55.0,48.0,48.0,47.0,55.0,47.0,48.0,47.0,48.0,3337.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3345.3,3400.0,3400.0,3400.0,3400.0,5.0,8.7,4.0,0.0,0.0,7.7,0.0,8.7,0.0,0.0,0.0,8.3,40.7,0.0,0.0,0.0,4.2,10.4,4.3,0,0.9
2025-04-17_10:31:51,55.0,48.0,48.0,47.0,55.0,47.0,48.0,47.0,48.0,3249.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1873.2,997.5,3400.0,3400.0,1000.0,1143.5,4.9,4.3,4.3,4.3,4.3,0.0,0.0,17.4,4.3,0.0,8.7,0.0,17.4,4.3,9.1,12.5,4.3,10.4,4.3,0,0.8
2025-04-17_10:31:51,55.0,48.0,48.0,47.0,48.0,47.0,47.0,47.0,48.0,3053.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1650.0,3400.0,3400.0,3400.0,3400.0,1923.9,3400.0,3400.0,3400.0,3400.0,5.0,0.0,0.0,0.0,4.3,0.0,4.3,9.1,0.0,0.0,4.8,8.3,36.4,0.0,4.5,0.0,8.7,9.2,3.2,0,0.8
2025-04-17_10:31:51,48.0,48.0,48.0,47.0,48.0,47.0,47.0,47.0,48.0,3173.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1965.3,3400.0,3400.0,3400.0,3400.0,6.5,9.1,8.3,4.8,0.0,0.0,0.0,13.6,0.0,0.0,8.7,0.0,31.8,4.3,0.0,9.1,4.5,9.1,3.1,0,0.8
2025-04-17_10:31:51,48.0,48.0,48.0,47.0,48.0,47.0,47.0,47.0,48.0,3145.0,3400.0,3400.0,3400.0,3400.0,3400.0,1724.5,3400.0,3400.0,1000.0,3400.0,3400.0,995.5,1427.4,3400.0,3400.0,3400.0,8.8,4.3,0.0,0.0,0.0,0.0,17.4,12.5,8.0,20.8,12.5,4.3,30.4,0.0,4.3,17.4,13.0,11.1,5.1,0,0.8
2025-04-17_10:31:52,48.0,48.0,48.0,47.0,48.0,47.0,47.0,47.0,48.0,3169.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1907.1,3400.0,3400.0,3400.0,3400.0,7.0,4.3,0.0,4.2,4.5,4.3,13.6,9.5,0.0,9.1,8.7,0.0,31.8,0.0,8.7,8.7,4.5,6.0,2.8,0,0.8
2025-04-17_10:31:52,48.0,48.0,48.0,47.0,48.0,47.0,47.0,47.0,48.0,3308.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1930.2,3400.0,3400.0,3400.0,3400.0,4.8,0.0,8.7,4.5,0.0,4.3,4.5,13.0,0.0,4.5,4.3,0.0,36.4,0.0,4.3,0.0,8.7,6.3,3.2,0,0.8
2025-04-17_10:31:52,48.0,48.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,3311.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1317.8,3400.0,3400.0,1975.8,3400.0,3400.0,3400.0,3400.0,4.5,0.0,4.5,8.7,0.0,0.0,0.0,8.7,0.0,0.0,0.0,4.3,31.8,0.0,0.0,0.0,4.5,5.9,2.7,0,0.7
