Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2025-04-17_11:03:13,51.0,48.0,47.0,47.0,47.0,50.0,47.0,47.0,47.0,3393.8,3400.0,3400.0,3400.0,3400.0,3300.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.0,0.0,0.0,0.0,5.0,73.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,4.9,0,0.7
2025-04-17_11:03:13,51.0,48.0,47.0,47.0,47.0,50.0,47.0,47.0,47.0,3290.9,3400.0,3400.0,3400.0,3400.0,999.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.0,4.3,4.3,4.3,4.3,27.3,0.0,12.5,4.2,0.0,0.0,4.3,0.0,0.0,0.0,0.0,4.2,10.3,4.2,0,0.7
2025-04-17_11:03:13,51.0,48.0,47.0,47.0,47.0,50.0,47.0,47.0,47.0,3213.9,3400.0,3400.0,3400.0,3400.0,997.3,3400.0,1428.9,3400.0,3400.0,3400.0,3400.0,2762.8,3400.0,3400.0,3400.0,3400.0,4.3,4.2,4.2,0.0,4.3,37.5,8.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,2.8,0,0.8
2025-04-17_11:03:13,51.0,48.0,47.0,47.0,47.0,50.0,47.0,47.0,47.0,3272.0,3400.0,1238.5,3400.0,3400.0,3400.0,1000.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,998.9,6.9,4.3,4.3,0.0,0.0,30.4,4.2,4.3,4.3,0.0,4.0,12.0,8.0,20.8,0.0,4.2,8.7,9.5,3.5,0,0.8
2025-04-17_11:03:14,48.0,47.0,47.0,46.0,47.0,46.0,47.0,47.0,47.0,3319.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2106.2,5.3,4.5,4.3,4.3,4.5,0.0,4.5,4.5,8.7,0.0,0.0,0.0,13.0,4.3,4.3,4.3,34.8,8.6,2.5,0,0.7
2025-04-17_11:03:14,48.0,47.0,47.0,46.0,47.0,46.0,47.0,47.0,47.0,3274.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2033.8,4.2,4.5,0.0,4.5,4.3,0.0,0.0,0.0,4.5,0.0,4.3,0.0,0.0,4.5,0.0,0.0,30.4,9.2,3.2,0,0.7
2025-04-17_11:03:14,48.0,47.0,47.0,46.0,47.0,46.0,47.0,47.0,47.0,3127.5,1387.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1052.6,6.0,8.7,12.5,4.3,0.0,4.2,4.5,13.0,9.1,4.2,0.0,4.3,0.0,0.0,0.0,8.3,25.0,16.6,10.5,0,0.8
2025-04-17_11:03:14,48.0,47.0,47.0,46.0,47.0,46.0,47.0,47.0,47.0,3227.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,999.3,7.6,8.7,20.0,0.0,4.5,4.3,4.3,9.1,9.1,0.0,0.0,8.7,13.0,0.0,4.3,0.0,26.1,10.2,5.7,0,0.8
2025-04-17_11:03:15,48.0,47.0,47.0,46.0,47.0,46.0,47.0,47.0,47.0,3074.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1957.6,6.4,0.0,4.8,4.3,4.3,0.0,4.5,13.0,0.0,0.0,0.0,4.5,16.7,4.3,4.5,0.0,31.8,5.1,3.4,0,0.8
2025-04-17_11:03:15,48.0,47.0,47.0,46.0,47.0,46.0,47.0,47.0,46.0,3200.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,998.1,4.8,4.3,8.0,0.0,4.3,0.0,4.2,4.3,4.2,0.0,0.0,4.2,4.3,0.0,4.2,8.3,33.3,4.1,2.4,0,0.8
