Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2025-04-17_10:26:22,50.0,44.0,44.0,44.0,43.0,43.0,44.0,50.0,44.0,3328.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2251.0,3400.0,6.6,6.7,7.1,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,0.0,13.9,8.2,0,0.7
2025-04-17_10:26:22,50.0,44.0,44.0,44.0,43.0,43.0,44.0,50.0,44.0,3379.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3070.0,3400.0,5.3,9.1,4.8,4.5,0.0,4.5,4.3,0.0,0.0,0.0,0.0,4.3,0.0,4.3,0.0,33.3,4.3,10.5,4.4,0,0.7
2025-04-17_10:26:23,50.0,44.0,44.0,44.0,43.0,43.0,44.0,50.0,44.0,2987.7,3400.0,3400.0,3400.0,2103.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1398.3,3400.0,6.2,8.7,8.0,8.0,8.3,12.0,0.0,0.0,0.0,4.0,0.0,4.2,0.0,4.2,0.0,33.3,4.2,9.0,2.9,0,0.8
2025-04-17_10:26:23,50.0,44.0,44.0,44.0,43.0,43.0,44.0,50.0,44.0,3271.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1424.0,3400.0,3400.0,3510.1,3400.0,9.6,22.7,9.5,9.5,10.0,5.0,4.8,0.0,9.5,4.8,20.0,5.0,14.3,4.8,13.6,20.0,4.8,17.4,11.2,0,0.9
2025-04-17_10:26:23,50.0,44.0,44.0,44.0,43.0,43.0,44.0,50.0,44.0,3018.8,2685.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3131.4,1524.6,6.1,9.1,4.5,0.0,8.7,0.0,0.0,4.8,4.3,0.0,13.0,9.1,13.6,4.5,0.0,23.8,4.5,9.5,4.7,0,0.8
2025-04-17_10:26:23,44.0,44.0,44.0,43.0,44.0,43.0,43.0,44.0,43.0,3315.5,1292.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2047.4,3400.0,5.6,9.1,0.0,4.3,8.7,0.0,4.3,4.5,0.0,0.0,4.5,4.5,13.0,0.0,0.0,34.8,4.5,5.7,2.6,0,0.8
2025-04-17_10:26:23,44.0,44.0,44.0,43.0,44.0,43.0,43.0,44.0,43.0,3313.0,1234.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2007.5,3400.0,5.3,9.1,4.3,0.0,13.0,0.0,0.0,4.5,0.0,0.0,4.5,0.0,0.0,4.5,0.0,31.8,0.0,5.5,2.4,0,0.8
2025-04-17_10:26:24,44.0,44.0,44.0,43.0,44.0,43.0,43.0,44.0,43.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,13.5,17.4,16.7,9.1,13.0,8.7,12.5,16.7,8.7,8.7,12.5,16.7,9.1,8.7,21.7,37.5,12.5,11.0,7.9,0,0.8
2025-04-17_10:26:24,44.0,44.0,44.0,43.0,44.0,43.0,43.0,44.0,43.0,3518.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4484.8,4204.9,3400.0,33.0,27.3,25.0,31.8,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,100.0,28.6,25.0,40.9,37.7,0,0.8
2025-04-17_10:26:24,44.0,44.0,44.0,43.0,44.0,43.0,43.0,44.0,43.0,3541.2,3400.0,3400.0,3400.0,3400.0,3400.0,4459.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,8.1,0.0,4.5,0.0,0.0,0.0,55.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,45.0,14.3,0.0,28.9,25.8,0,0.8
2025-04-17_10:26:24,52.0,46.0,46.0,44.0,46.0,45.0,45.0,46.0,53.0,3519.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4562.2,4155.7,28.8,23.8,20.0,23.8,23.8,23.8,42.9,23.8,23.8,23.8,20.0,27.3,23.8,20.0,27.3,40.0,81.0,41.0,37.8,0,0.9
2025-04-17_10:26:25,52.0,46.0,46.0,44.0,46.0,45.0,45.0,46.0,53.0,3546.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4547.8,4589.7,8.2,0.0,0.0,0.0,4.8,0.0,0.0,5.0,4.8,0.0,4.8,0.0,0.0,0.0,0.0,15.0,100.0,28.0,25.0,0,0.8
2025-04-17_10:26:25,52.0,46.0,46.0,44.0,46.0,45.0,45.0,46.0,53.0,3500.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4545.0,3861.3,8.8,0.0,0.0,0.0,0.0,0.0,4.8,0.0,4.8,0.0,0.0,4.8,0.0,0.0,0.0,26.1,100.0,20.5,16.9,0,1.1
2025-04-17_10:26:25,52.0,46.0,46.0,44.0,46.0,45.0,45.0,46.0,53.0,3498.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4505.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3874.1,3400.0,9.4,0.0,0.0,0.0,0.0,0.0,4.8,13.6,55.0,4.8,4.8,0.0,0.0,0.0,0.0,15.8,45.0,27.9,21.9,0,0.8
2025-04-17_10:26:25,52.0,46.0,46.0,44.0,46.0,45.0,45.0,46.0,53.0,3550.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,8.7,0.0,0.0,0.0,4.8,0.0,0.0,0.0,100.0,0.0,5.0,4.8,0.0,0.0,0.0,14.3,0.0,32.3,26.3,0,0.7
2025-04-17_10:26:25,60.0,46.0,46.0,46.0,46.0,45.0,45.0,46.0,60.0,3550.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,100.0,0.0,10.0,4.8,0.0,4.8,0.0,15.0,0.0,32.1,26.7,0,0.7
2025-04-17_10:26:26,60.0,46.0,46.0,46.0,46.0,45.0,45.0,46.0,60.0,3550.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,10.5,0.0,0.0,4.8,0.0,0.0,0.0,0.0,100.0,13.6,18.2,4.8,4.8,0.0,4.8,18.2,0.0,32.3,29.1,0,0.9
